"행정구역","2022년05월_계_총인구수","2022년05월_계_연령구간인구수","2022년05월_계_0세"
"서울특별시 송파구 방이2동(1171056200)","26,282","117","117"
"서울특별시 송파구 오륜동(1171056600)","17,898","37","37"
"서울특별시 송파구 오금동(1171057000)","38,157","190","190"
"서울특별시 송파구 송파1동(1171058000)","23,787","105","105"
"서울특별시 송파구 송파2동(1171059000)","19,110","95","95"
"서울특별시 송파구 석촌동(1171060000)","31,393","136","136"
"서울특별시 송파구 삼전동(1171061000)","29,944","137","137"
"서울특별시 송파구 가락본동(1171062000)","25,999","149","149"
"서울특별시 송파구 가락1동(1171063100)","27,379","261","261"
"서울특별시 송파구 가락2동(1171063200)","31,663","148","148"
"서울특별시 송파구 문정1동(1171064100)","19,880","109","109"
"서울특별시 송파구 문정2동(1171064200)","28,709","137","137"
"서울특별시 송파구 장지동(1171064600)","29,181","196","196"
"서울특별시 송파구 위례동(1171064700)","43,709","421","421"
"서울특별시 송파구 잠실본동(1171065000)","27,895","107","107"
"서울특별시 송파구 잠실2동(1171067000)","34,867","119","119"
"서울특별시 송파구 잠실3동(1171068000)","34,156","122","122"
"서울특별시 송파구 잠실4동(1171069000)","21,243","110","110"
"서울특별시 송파구 잠실6동(1171071000)","16,661","64","64"
"서울특별시 송파구 잠실7동(1171072000)","9,491","32","32"
"서울특별시 강동구 (1174000000)","461,417","2,578","2,578"
"서울특별시 강동구 강일동(1174051500)","32,960","224","224"
"서울특별시 강동구 상일제1동(1174052500)","38,883","274","274"
"서울특별시 강동구 상일제2동(1174052600)","11,309","99","99"
"서울특별시 강동구 명일제1동(1174053000)","25,709","209","209"
"서울특별시 강동구 명일제2동(1174054000)","17,393","35","35"
