순번,기준년,기준월,상권코드,상권명,성별코드,성별,시간대코드,시간대,행정동코드,행정동명,유동인구수,시간당 평균 유동인구수,데이터생성일자
134,2021,01월,7,대주프라자 주변 상권,m,남성,2,주간,3017059700,관저2동,642959.4,71439.94,2022-11-15
135,2021,01월,7,대주프라자 주변 상권,f,여성,3,퇴근,3017059700,관저2동,200968.31,100484.16,2022-11-15
136,2021,01월,7,대주프라자 주변 상권,m,남성,3,퇴근,3017059700,관저2동,194105.35,97052.68,2022-11-15
137,2021,01월,7,대주프라자 주변 상권,f,여성,4,저녁,3017059700,관저2동,386372,96593.01,2022-11-15
138,2021,01월,7,대주프라자 주변 상권,m,남성,4,저녁,3017059700,관저2동,386585.22,96646.32,2022-11-15
139,2021,01월,7,대주프라자 주변 상권,f,여성,5,야간,3017059700,관저2동,143981.8,20568.83,2022-11-15
140,2021,01월,7,대주프라자 주변 상권,m,남성,5,야간,3017059700,관저2동,159695.56,22813.65,2022-11-15
141,2021,01월,8,마치광장골목형상점가 주변 상권,f,여성,1,출근,3017059700,관저2동,39890.43,19945.22,2022-11-15
142,2021,01월,8,마치광장골목형상점가 주변 상권,m,남성,1,출근,3017059700,관저2동,40705.72,20352.86,2022-11-15
143,2021,01월,8,마치광장골목형상점가 주변 상권,f,여성,2,주간,3017059700,관저2동,421311.88,46812.43,2022-11-15
144,2021,01월,8,마치광장골목형상점가 주변 상권,m,남성,2,주간,3017059700,관저2동,375522.52,41724.72,2022-11-15
145,2021,01월,8,마치광장골목형상점가 주변 상권,f,여성,3,퇴근,3017059700,관저2동,115625.8,57812.9,2022-11-15
146,2021,01월,8,마치광장골목형상점가 주변 상권,m,남성,3,퇴근,3017059700,관저2동,118529.45,59264.73,2022-11-15
147,2021,01월,8,마치광장골목형상점가 주변 상권,f,여성,4,저녁,3017059700,관저2동,186643.17,46660.79,2022-11-15
148,2021,01월,8,마치광장골목형상점가 주변 상권,m,남성,4,저녁,3017059700,관저2동,198565.81,49641.46,2022-11-15
149,2021,01월,8,마치광장골목형상점가 주변 상권,f,여성,5,야간,3017059700,관저2동,72179.83,10311.41,2022-11-15
150,2021,01월,8,마치광장골목형상점가 주변 상권,m,남성,5,야간,3017059700,관저2동,82590.83,11798.69,2022-11-15
151,2021,01월,9,둔산3동상점가 주변 상권,f,여성,1,출근,3017055500,탄방동,9120.09,4560.05,2022-11-15
152,2021,01월,9,둔산3동상점가 주변 상권,m,남성,1,출근,3017055500,탄방동,10928.87,5464.44,2022-11-15
153,2021,01월,9,둔산3동상점가 주변 상권,f,여성,2,주간,3017055500,탄방동,64414.22,7157.14,2022-11-15
154,2021,01월,9,둔산3동상점가 주변 상권,m,남성,2,주간,3017055500,탄방동,76089.95,8454.44,2022-11-15
155,2021,01월,9,둔산3동상점가 주변 상권,f,여성,3,퇴근,3017055500,탄방동,18840.66,9420.33,2022-11-15
156,2021,01월,9,둔산3동상점가 주변 상권,m,남성,3,퇴근,3017055500,탄방동,21585.62,10792.81,2022-11-15
157,2021,01월,9,둔산3동상점가 주변 상권,f,여성,4,저녁,3017055500,탄방동,41390.93,10347.74,2022-11-15
158,2021,01월,9,둔산3동상점가 주변 상권,m,남성,4,저녁,3017055500,탄방동,47882.4,11970.61,2022-11-15
159,2021,01월,9,둔산3동상점가 주변 상권,f,여성,5,야간,3017055500,탄방동,23458.67,3351.24,2022-11-15
160,2021,01월,9,둔산3동상점가 주변 상권,m,남성,5,야간,3017055500,탄방동,26574.88,3796.41,2022-11-15
161,2021,01월,9,둔산3동상점가 주변 상권,f,여성,1,출근,3017066000,둔산3동,16374.57,8187.29,2022-11-15
162,2021,01월,9,둔산3동상점가 주변 상권,m,남성,1,출근,3017066000,둔산3동,16673.53,8336.77,2022-11-15
163,2021,01월,9,둔산3동상점가 주변 상권,f,여성,2,주간,3017066000,둔산3동,134796.43,14977.38,2022-11-15
